,Input.category,Answer.complex_query,Answer.simple_query
46,jewelry,engagement ring with diamond under $1000 san diego,best value engagement rings
47,jewelry,gold wedding ring under $2000,necklace with green stones
48,jewelry,Gold serpentine chain necklace mejuri 16in 14k yellow gold,Gold chain mejuri necklace
49,jewelry,diamond ring large gauge platinum or lead $20,engagement rings less then $500
50,jewelry,smart phones with 128 mb memory or more,"smart phones (android, iphone, microsoft)"
51,jewelry,Tennis bracelet under $150 white gold,bracelet under $150
52,jewelry,silver or gold necklace more than $1000,gold bracelet
53,jewelry,earrings in gold with diamonds $500,necklace with diamonds less than $2000
54,jewelry,her happiness,wedding dress
55,jewelry,jewelry for the perfect night out,gold ring beautiful look
56,motorcycles,6 Honda CRF450R price 6000 2016 11000 km,honda motorcyle 1 owner low mileage
57,motorcycles,"BMW Motorrad 2005 used for $15,000",Harley Davidson 2005 less than 10 thousand KM
58,motorcycles,great condition harley davidsons 1990 to 2000 less than 10000,harley davidson best motorcycles
59,motorcycles,2008 honda motorcycle under $4000,motorcycle made in 2010
60,motorcycles,sold automobiles,motocicle
61,motorcycles,bajaj dominar 2017 less than 140000 sale,honda motorcycle 600cc
62,motorcycles,honda motorcycle 500cc 120000 sale,bajaj dominor 2000km driven
63,motorcycles,Harley Davidson black 800cc motorcycle 1984,Harley motorcycle 800cc
64,motorcycles,motorcycle for sale elkhorn 2021 Super73-S2 Hudson Blue Official,motorcycle for sale elkhorn 2021
65,motorcycles,"Restored or genuine parts, Old Norton, 1930s, model 50, no more than 20,000 miles.","used Kawasaki, red"
66,motorcycles,"honda NC750X 2021 8,499 sale",Yoshimura  R-77 600cc
67,motorcycles,"Ducati motercycle for sale, less than 50000",Ducati motercycle 250cc
68,motorcycles,ducati diavel 2019 less than 120000,suzuki motorcycle less than 100000
69,motorcycles,I want a bmw 1200 cc bike less than 10 years old with less than 200 km on the meter0,1000 cc motorcycles
70,motorcycles,"2007 honda motorcycle sale 16,000 sale good deal",Bike
71,motorcycles,Bajaj pulsar black color model 2018 used under $500,BMW motorcycle model 2019 red color
72,motorcycles,2018 harley davidson sportster s for sale,harley davidson motorcycle
73,motorcycles,bajaj dominar sell more than 130000,owner of motorcycle
74,motorcycles,2017 hellcat motorcycle only 13000,joy rider motorcycle fast
75,motorcycles,TaoTao 125d 125cc utility cuad bike for $2000,yamaha cuad bike 125cc
76,motorcycles,Harley Davidson 2015 sale at 15000,Harley Davidson 125cc
77,motorcycles,"harley davidson motorcycle 2022 less than $200,000 0 miles",small motorcycle
78,motorcycles,harley davididson 2017 less than 100000 sale,harley davidson mortorcycle 600hp
79,motorcycles,Honda Shadow Aero 2020 less than 7495 sale,Bmw motorcycle 1800cc
80,motorcycles,Yamaha YZ125 2022 less than $6000 sale,yamaha motorcycle 125cc
0,furniture,"42x18.5, inches red cedar or cherry, vintage, hope chest","Twin-size bedstead, oak"
1,furniture,Hight top kitchen chairs,Oak  or Pine Cabinets
2,furniture,Twin size headboard under $50 dark brown,Headboard under $50 brown
3,furniture,bathroom sink stanless 4 feet high,living room sofa plastic
4,furniture,modern design countertop granite level 1,stove refrigerator microwave
5,furniture,king bed with pine headboard memory foam mattress,King bed with headboard
6,furniture,ivory and beige rosewood kitchen cabinet 3 feet by 4.25 feet $125,pink cedar stool
7,furniture,"Stool,Bar, Condition, Size,Brown","Cabinet, Finish, Kitchen"
8,furniture,desk chair with inlay under 30 inches wide and under 30 inches long,bedside table in white
9,furniture,new kitchen bar stool brown 121 by 167 meters,kitchen cabinet mahogany or nuts
10,furniture,small blue bedroom chair yellow mahogany,bedroom chair small
11,furniture,New kitch bar stools 56,Used kitchen cabinets 50000
12,furniture,queen size wooden headboard,twin bed frame cheap
13,furniture,new bathroom bar stool 1000 by 10000,bathroom patio 100 square in
14,furniture,Bar top 20ft by 4 ft brand new painted blue and white with red accents,Bar Stool white or black
15,furniture,oak kitchen table 5 feet by 5 feet with chairs,toddler bed under 100 dollars
16,furniture,red color wooden chair for kids under $100 with height 100 meters,kitchen furniture brown color under $120
17,furniture,"weight limit, shade, price, quality, location","measurements, condition, knobs"
18,furniture,price of white kitchen furniture,price of bedroom furniture
19,furniture,Cherry finish corner office desk with hutch,Office desk
20,furniture,"Gently used oak dining room table 18"" x 36""","Floating shelf black 24"" x 15"""
21,furniture,Used 8 piece dining set mahogany in georgia,Brown leather sofa large
22,furniture,kitchen  bar cabinet,CHAIR
23,furniture,dinner table wood black large 6 people,dinner table walnut
24,furniture,kitchen stool brown 111 by 140 meters,bar kitchen cabinet steel
25,furniture,IN MY KITCHEN WE NEED A DINING TABLE FOR THE DIAMETERS OF 200*450? WILL YOU ARRANGE IN THIS SPACE,IN KITCHEN ALMARAH WE NEED 6*8 DIMENTION WITH PARROT GREEN? WILL YOU GIVE WITH ADDITIONAL ANY NEW FEATURES
26,furniture,Wanted Rosewood chair of genuine antiquity at least 100 yrs and less than 1000 euros,Wooden throne chairs
27,furniture,4 post bed for sale in mahogany finish with base draws and foot stool also in mahogany finish,4 post bed for sale in mahogany
28,car,Red 2door v8 black interior used,Red 2 door used
29,car,jeep wrangler 2001 with hard top under $10000,jeep wrangler 2001
30,car,the honda condition was good,toyptacarwasvery nice
31,car,"red jeep cherokee under $10,000 good condition",used jeep low miles
32,car,Used sedan under 15000,Used sedan less than 5000
33,car,"Pontiac hatchback with less than 50,000 miles in good condition no older than 2005","BMW poor condition 1995 under 10,000"
34,car,car year manufacturer state and price,car condition and model
35,car,"Honda, Sedan, miles, for sale, price, listing","Toyota, Miles, used"
36,car,2001 black dodge ram under 150000 miles,Jeep wrangler 2000
37,car,Used honda 3000 miles 5000,Used honda 3000
38,car,Ford Escort under $5000 automatic in Pennsylvania,Automatic ford escort used
39,car,"1956-1963, Ford truck, F-250 series, less than 70,000 miles, black, brown, or white.","Blue, Porsche, Mint condition"
40,car,"Used Honda Sedan car run less than 200,000 miles is available for $15000",Used Toyota Car for 5000
41,car,"engine, interior, transmission, paint, condition","mileage, year, price, interior"
42,car,new 2021 4 cylander silver toyota camry automatic,2005 honda pilot automatic
43,car,BMW SUV less than 150K miles and around $10K,benz used under 6000
44,car,Want a red ferrari around 5 yrs old in good condition less than 20000 USD and below 20000 kms done,Wanted 5 year old ferrari
45,car,"Audi c4 petrol 2016 used less than 200,000 and under $35000",Audi used under 80000
46,car,"Toyota minivan less than 50,000 miles and in Florida",Bmw lease black florida
47,car,pristine pink Mercedes under $150k built after 2020 in New York or California,red Buick under $15000
48,car,honda civic 2013 under 5000,honda civic under 2000
49,car,"Used black BMW convertible 6 cylinder manual under 100,000 miles",New diesel Volvo automatic
50,car,"Yahama sedan less than 300,000 miles and under $16000",toyota used under 7000
51,car,"What is the best Honda with less than 200,000 miles?","Can I get a Toyota based vehicle with under 5,000 miles?"
52,car,BMW used under $10000 2017,used cars dacia renault 2017
53,car,Green Audi A3 20000 miles for sale price of car is £8000,Green Audi A3 20000 miles
54,car,"Mazda truck less than 170,000 miles and under $9000",Mazda used under 3000
55,car,"used nissan sentra 2006 under $4000 less than 100,000 miles",used nissan over 200000 miles
56,car,"Hyundai Elantra under $20000 and less than 100,000 miles",Hyundai used under 20000
57,car,"Porsche macan less then 50,000 miles and red",kia new under 30000
58,car,"Could you please check the exact mileage of the Honda sedan, and provide further details on fuel and transmission type, number of cylinders, exact original factory paint color, and if it is in good working condition without an active check engine light?",Is this a 4 cylinder gasoline powered Toyota with manual transition?
59,car,"2020 White Ford F150 Like New in Illinois Under 10,000 Miles $60000",2020 White Ford V8
60,car,2015 dodge ram diesel in minnesota under 20 thousand dollars,black ford 150 truck
61,car,ford focus drove more than 10000,toyato hundai under 250
62,computer science jobs,Looking for a skilled app developer in London to create a new app from scratch in 3 months. Can pay 100000 dollars for full project.,Wanted app development job
63,computer science jobs,data science jobs in California salary 90k,Business Analyst New York $80K
64,computer science jobs,programmer salaries in california 10 years of experience,programmer jobs in california
65,computer science jobs,data science job private company $88K or $110K in california,senior data scientist $89K alabama
66,computer science jobs,Business analyst job fortune 500 corporation in Illinois $90K to $100K requires 10 years experiance,Business analyst 10 years fortune 500 Corportation
67,computer science jobs,Professional TI,professional TI
68,computer science jobs,soft engineer tech company 250K in seattle,business analyst 81k boston
69,computer science jobs,Data Based Analyst Scientist  100K California,:Lead Principal Data Engineer
70,computer science jobs,data science job 80k new york private company,Data scientest manager $75k Arizona
71,computer science jobs,science data analyst pharmatech phd required,senior scientist salary ma
72,computer science jobs,computer scientist job large company $100k florida,computer scientist Gainesville florida
73,computer science jobs,New science kits all areas 20k mimia,New science kit 64000 Louisiana
74,computer science jobs,Data analyst government contractor 90k virginia,Network engineer florida
75,computer science jobs,Business Analyst private company 100k or 120k in Vermont,Business Analyst 90k Wisconsin
76,computer science jobs,Senior Computer scientist at private company starting wage is $75000 C++ Coding experience required,Senior computer scientist position available north west oregon
77,computer science jobs,Senior Data Scientist Job $74 k to $90K  in a Private Company in California,Senior Data Scientist Job $74K Alabama
78,computer science jobs,Entry level computer science employment opportunity Oregon State $100K,computer engineering jobs idaho
79,computer science jobs,Machine Learning Engineer $90K 20 years experience located in Washington,Systems Architect $64k health care 10 years experience
80,computer science jobs,"Small, private company, Dallas, 5 years experience,  Manufacturing, Data Scientist","Healthcare data analyst Seattle,"
81,computer science jobs,Senior Programmer 2 year degree 4 years experience $120000 salary in Film Boston Massachusetts,"Business Analyst $125,000 Virginia"
82,computer science jobs,"company, location, PTO, insurance, co-workers, raises, qualifcations","hours, company, PTO, insurance"
83,computer science jobs,Where can I find the best data science company in California?,How soon can a senior data scientist be hired?
84,computer science jobs,cloud engineer in private company located in New jersey founded in 2008 and salary 11k to 20k,junior java developer florida bank sector
85,computer science jobs,website development position with large health care company in minnesota,software developer for google with associates degree
86,computer science jobs,science data was imortant to private company,java is very important
87,computer science jobs,data scientist salary in the health care sector,business analyst salary estimate
88,computer science jobs,"Data Science, Job, Private Company, Annual salary, California","Data Scientist, Annual Salary, State"
89,computer science jobs,University teaching job atlanta georgia $100k with moving stipend,Senior tax accountant $100k georgia
90,computer science jobs,Data Scientist Manager job private company $60K to $70K in alabama,Software Programmer $50K California
