,Input.category,Answer.complex_query,Answer.simple_query
147,motorcycles,$10000 harley silver electric powered,harley davidson under $3000
148,motorcycles,"km- driven , engine, color, cylinder capacity, owner, documents","color, price, cylinder capacity"
149,motorcycles,bajaj 2017 130000,honda 500 cc
150,motorcycles,Ninja motorcycle 2015 or newer less than $20000 one owner,Ducati motorcycle less than $10000
151,motorcycles,"Harley Davidson  10,000 for sale  2016",Harley davidson 10k
152,motorcycles,Trendy and hot 2021 toyota motorcycle for $1000,2014 Toyota motorcycle for $2000
153,motorcycles,bajaj dominar,Honda Motorcycle
154,motorcycles,green chevy malibu 10000 sale 2010,toyota corolla 2005
155,motorcycles,yamaha fazer 2016 more than 10000 sale,suzuki motorcycle 750cc
156,motorcycles,honda 2015 $10k 1 owner 700cc,yamaha motorcycle 2018
157,motorcycles,"Hellcat 2018, less than 50km drive.","Chevy tahoe, 2015"
158,motorcycles,bajaj dominar 2017 less than 140000 sale,hyundai motorcycle 500cc
159,motorcycles,vehicles for sale near me 130000,honda motorcycle parts 500cc
160,motorcycles,"2019 Triumph Bonneville less than 10,000 in Florida in black",Used Honda 125
161,motorcycles,Bajaj CT 100 less than 25000km driven 2018 model,Honda Shine First Hand
162,motorcycles,nissan leaf electric 3 bar battery used less than 10000,honda electric 1000miles new
163,motorcycles,what is the price,what is the name of motor cycle
164,motorcycles,2019 Honda Good Condition $5000,Suzuki 600s
165,motorcycles,suzuki motorcycle used 2015 to 2020 less than 10000,suzuki motorcycle new 2021
166,motorcycles,kawasaki motorcycle ninja 2013 less than 1400 new,kawasaki motorcycle 250cc
167,motorcycles,What is minimum price of bajaj?,What is the price of the honda motorcycle 500cc
168,motorcycles,Want a ducati monster 797 karnataka registered 2017 below 8 lakh rupees,Pulsar 220 used in kerala
169,motorcycles,1300,500
170,motorcycles,he is looking for bike under 5000$,she want a mobile
171,motorcycles,yes,cycle
172,motorcycles,Honda motorcycle $2500 used driven 12k miles black,Harley Davidson motorcycle 1989 vintage
173,motorcycles,"motorcycle name = ""yamaha"" and  price < 200","motorcycles name = ""yamaha"""
174,car,ferarri red cabrio less than 100000 miles and under $20000,bmw new manual under 10000
175,car,"Black Toyota Corolla less then 100,000 for 10,000$",BMW used under 20000 miles
176,car,can get hond sedan,used car
177,car,new bmw 4 wheel drive v6 engine under 35000,used toyota 2002 good condition
178,car,"Toyota, 50000k, 2021, new, blue, 4 cylinders","Mazda, 5000k, used, red"
179,car,Honda,Subaru used under 7000
180,car,nissan leaf 2007 new battery used under $10000,honda new over 10000
181,car,"jeep less than 300,000 miles under $20000",used cadillac under 10000
182,car,Beand new honda 340000,Honda used 3000
183,car,What is the pay for the job?,How do you get a job at HUD?
184,car,Honda Sedan,Used Toyota
185,car,"Honda sedan less than 200,000 miles and under $15000",toyota used under 5000
186,car,mazda miada t-top under $10000 red or green,fiat convertible low miles
187,car,Mercedes 2021 SUV brand new in red paint job,nissan new under 10000
188,car,2011 Ford Fiesta used grey automatic transmission,"Used Ford truck $12,000"
189,car,toyota hatchback 2 seater under 3500,ford 100K under 2000
190,car,1992 silver toyota tacoma 4x4 truck,yellow truck
192,car,-,-
193,computer science jobs,data science job private company $80K or 90,senior data scientist $ 74K alabama
194,computer science jobs,data engineer at least $100k California or new york,data engineer california
196,computer science jobs,"computer science = ""Consultant"" and salary > 20000€","computer science = ""Consultant"""
197,computer science jobs,software developer remote company $95k information technology new york,junior data engineer $50k london
199,computer science jobs,it analyst public company $100k in Georgia healthcare 5 years,it engineer $70k Georgia
200,computer science jobs,Dallas data analyst $85k MBA required has 401k,Data analyst IBM $75K
201,computer science jobs,Can the company offer a 401k?,How much money can have a scientist have?
202,computer science jobs,masters degree google el paso database administrator 120k,engineer 84k seattle
203,computer science jobs,"Analyst, 50k-70k, four year degree, one years experience, New York,, medium sized company, Social Sevices","Editor Analyst, 30k-50k, two years experience, Tampa Florida, medium sized company"
204,computer science jobs,data science,senior data scientist
205,computer science jobs,entry level data analyst government local $50k chicago,entry level data analyst $50k illinois
206,furniture,New closed kitchen sink,New kitchen stove brown
207,furniture,Bar Stool,Kitchen Cabinets
208,furniture,"category = ""beds""  and price > 200$","category = ""beds"""
209,furniture,never been used queen mattress pillow top,modern couch permanent cushions
210,furniture,new kitchen bar stool brown 111 by 164 meters,what type of chair is that
212,furniture,used blue 10 by 14 inches desk mahogany,table green $20
213,furniture,Eames Lounge Chair and Ottoman Standard with Pearl leather upholstery,leopard accent chair
214,furniture,sofa couch black two seater recline,kitchen counter marble or granite
215,furniture,tv stand in brown or black 5 foot in height 10 foot in width,bedroom dresser wood or metal
216,furniture,"material, durability, shape, price, dimension.","shape, price, dimension"
217,furniture,oak dresser under 11x7 feet under 2000 dark brown,dinner table brown under 500
218,furniture,gray tufted 6 seater sectional sofa,gray couch
219,furniture,New Kitchen Island Marble 2m by 1m,Used Double Bed
220,furniture,king size bed teak 7x7,bed mahagony off white color
221,furniture,Kitchen table seats 8 walnut stained natural wood,Black painted dresser with 4 drawers
222,furniture,dining table brown 200 by 500 meters $100,bedroom wardrobe 500 black
223,furniture,white wooden bedroom bed 110 by 220,white bedroom bed
224,car,2015 Honda Pilot Silver or Grey with leather seats,"Nissan Sentra under 80,000 miles"
225,car,"Ford sedan less than 150,000 miles and under $20000",Ford used under 4000
226,car,Black Ford Mustang in GA,mustang 2005 400 miles
227,car,"honda sedan less than 200,000 miles and under $15000",toyota used under 5000
228,car,"Tata Nano Mumbai area less than 55,000 km red color",Red Scorpio 2012 model
229,car,"Jeep USV new less than 10,000 miles under $ 10000",Jeep USV new under $10000
230,car,"Honda sedan less than 300,000 miles and under $20000",toyota used under 6000
231,car,16000,5001
233,car,honda 200k miles <15000k,toyota 5k
234,car,toyota SUV less than 5000 miles and under $50000,audi new 2022 blue
235,computer science jobs,senior computer programmer job private company $90K to $120K in new york,senior business analyst $46K texas
236,computer science jobs,business analyst job government &120K or $130K in illinois,business analyst $50K atlanta
237,computer science jobs,Senior programmer for health care provider in Dallas Masters degree required,Data analyst for bank in Texas
238,computer science jobs,data science job private company$80K or $90K in california,senior data scientist $74K alabama
239,computer science jobs,Business analyst $45k per year computer science bachelor Navi mumbai,"Digital marketing executive, 3 years experience, IT"
240,computer science jobs,data entry operator private company $80k or $90k in washington,senior data entry operator $74k florida
241,computer science jobs,data science job private company $88 K or $99K in california,senior data scientist $88K alabama
242,computer science jobs,Nurse with 4 year degree $60k to $80k salary in colorado,Nurse $50K colorado
243,computer science jobs,data science private 80 to 90 k,data scientist
244,computer science jobs,The degree must be post graduate and also need to have years of experience,Salary estimation will be depends on qualification
245,furniture,new kitchen bar stool brown 122 by 156 meters,kitchen cabinet mahogany or walnut
246,furniture,146,walnut
247,furniture,queen size bed white metal frame under 500 dollars,bedroom set white or beige
248,furniture,Kitchen cupboard with mat finish 2 foot wide,wooden bed under $150
249,furniture,dining table with 8 chairs no longer than 8 feet long under 1000 with free delivery,green sectional sofa
251,furniture,New brown wooden dining room table chair,Brown wooden chair
252,furniture,kitchen bar stool,kitchen cabinet
253,furniture,new bedroom nightstand glass top 36 to 45 inches tall,queen bed white or offwhite
254,housing,"Single family home with 4 BDR, 2 BATH, 2-car garage in Los Angeles, CA for $790,000 built in 1990",Single family home with 3 BDR
255,housing,rent to own single family home in barboursville,single family home
256,housing,1650 sq. feet building available for rental 10000 per month,New apartment build in two bedrooms look like suburb and fasionate
257,housing,house with 3 bed 2 bath 1000 per month or less with attached garage in rural area,house located in rural area with 3 bedrooms
258,housing,16000,nebteigh apt 4000 per month
259,housing,Sydney apartment 2 bedrooms 2 bathrooms car (yes),Suburb built before 1900 2 bedrooms 1 bath
261,housing,vienna apartment in the city center with 2 bedrooms and 1 bathroom,apt 3 bedrooms 2 bathrooms built after 1990
262,housing,melbourne apartment close to city center built after 1980 with 3 bathrooms,netbleigh apt 9000 per month single bed
263,jewelry,necklace $400,earring  less than $500
264,jewelry,Used wedding rings 3500,Used wedding rings 2500
265,jewelry,ruby encrusted gold necklace for 2000$,gold earring for 500$ or less
266,jewelry,Anniversary ring for him gold or silver $500,Wedding necklace more than $5000
267,jewelry,200,750
268,jewelry,anniversary chain for her silver or gold $300,wedding rings less than $2000
269,jewelry,Clip-on Diamond Earrings for girls less than $200,Gold Necklace
270,jewelry,Silver Wedding Ring with Diamonds for Under $1000,Pearl earrings for less than $ 200
271,jewelry,Matching wedding sets for him and her $1000 rosegold,rosegold wedding band with necklace
273,jewelry,gold or silver anniversary bracelet under $100,wedding jewelry
274,jewelry,"Silver necklace for $750 on sale from $999 that is 16"" long.",Earrings that are gold.
275,jewelry,silver cross necklace between $75 and $150,men's bracelet silver under $150
276,motorcycles,"2007 honda shadow 1.0L less than 3,000 miles with one owner and under $1,000",suzuki motorcycle 750cc
277,motorcycles,honda 260000,"kinetic price 95000,  1000cc"
278,motorcycles,duster 2020 4x4 drive,dacia car 2.0
280,motorcycles,Suzuki katana 2018 new or used under 15000,harvey davidson dyna super glide new under $13000
281,motorcycles,ktm dominar 2020 less than 40000sale,honda motorcycle 500cc
282,motorcycles,honda dominar 2017 less than 140000 sale,bajaj motorcycle 650cc
283,motorcycles,"The 2021 Suzuki Boulevard M109R B.O.S.S COSTS UPTO $15,249 near Daytona Beach, FL.",The price of red Yamaha motor cycle was $10000 in Texas.
284,motorcycles,100000,450cc
285,motorcycles,honda motorcycle have good reputation compared with other motorcycles in part 30years,Royal enfilled overall very famous motorcycles in the world
286,motorcycles,2021 Harley Davidson Road King on sale,1995 harley motorcyle like new
287,motorcycles,Used honda 2000,Used motorcycle 3000miles 1200
288,motorcycles,"1970 Honda RedWing motorcycle with 9000 KM, one owner for $6,500",1984 Harley Davidson motorcycle
289,motorcycles,"Bajaj Dominar 400 2017 less than 77,000 sale",Royal Enfield Bullet 350
364,car,$70000 in the 1990s but can be had for less than $90 a month now,$5000
365,car,"Ford Mustang less than 150,000 miles and cost $10,000",Mustang 2006 V4 blue
366,car,"Honda sedan less than 300,000 miles and under $20000",toyota used under 7000
367,car,"bmw less than 200,000miles and under $20000",toyota used under 5000
368,car,The price of model 2017 blue toyota was $20000 in TX.,The price of black Honda sedan was $30000
369,car,honda 200k miles under $15000,toyota 5000
370,car,"BMW used from at least 2005 in blue for less than 100,000",Chevy new Washington
371,car,"Ford SUV under $50,000 but under 150,000 miles",Honda used under 10000
373,car,Toyota SUV 6 cylinders and under $20000,Honda used year 2018
374,car,bmw less than 300000 miles under $20000,audi is under 1000000
375,car,"Used petrol Citroen city car, manual transmission and under  £5000",Used black Vauxhall Corsa
376,car,black jeep cherokee 2017 under $20000,jeep cherokee 2017
377,car,"cylinders, fuel, odometer, transmission, type, paint_color, state","price, year, condition,region"
379,car,"black honda civic less than 5 years old, for around £12,000",4 cylinder red mustang
380,car,Toyota truck 2002 white used,citroen used under 2000
381,car,One owner SUV used well-maintained blue no damage,Honda Pilot used
382,car,what type of music system in this model,what is price of 1st model
383,car,"Used Honda Sedan, Los Angeles, Automatic Transmission, Clean title, less than 200,000 miles","Used Honda, California, clean title"
384,car,Kia sedan new under $36k,Kia new under 25000
385,car,The transmission and the type is too expensive and the cylinder works so perfect,The model is updated
388,computer science jobs,senior scientist company $60k or $ 70k in pasadena,senior business analyst $65k alabama
389,computer science jobs,data science job private company $89K or $90K in california,senior data scientist $89K alabama
390,computer science jobs,what is the nature work for Data Scientist Manager,where is located your concern
391,computer science jobs,data science private 80-90k,data scientist 74k
392,computer science jobs,We suspect that a scarcity of resources trained in the newer open source tools creates demand that bids up salaries compared to the more mature commercial cluster tools.,"As a person functioning in the role, you have to troubleshoot database issues while also executing the database procedures. Being a manager, you'll also supervise the database team."
393,computer science jobs,senior scientist job private company in california,data scientist manager $56k alabama
394,computer science jobs,Job title (Data Science) Salary Estimate yearly 102K Qualifications (bachelor's Degree 3-5 Year's experience Company name Code3 Sacramento California global employees 225 founded in 2010,Job Title (Senior Data Scientist) Salary Estimate $74k-$103k Quailfactions (Bachelors Degree3-5 years experience) Company Name Betterteam Birgham Alabama
395,computer science jobs,The data scientist manager in private company should have experience of 5-6 years with the estimated salary of $85K in Texas.,The salary of Business Analyst is $80K in Texas.
396,computer science jobs,Data Scientist Manager Master's degree in Southern California Healthcare,Software engineer entry level
397,computer science jobs,"scientist job location is NY, salary range is $100,000-$150,000, founded in 2002","data analyst $150,000 salary bachelors degree required"
398,computer science jobs,data science job is google company salary $80k,data scientis is complicated job
399,computer science jobs,Programmer analyst 10 years experience starting at $81K minimum MSc with 15 years experience in Washington,Software developer BS in computer science 5 years experience
400,computer science jobs,"Data science manager, private company , $45K, New York, engines","Business Analyst, Art company, $10k, london,"
401,computer science jobs,"Senior Data Scientist Job, Private Company, Masters Degree, 90k or 100k in Arizona",Senior Data Analyst $75k Arizona
402,computer science jobs,computer engineer helpdesk military security online router,software developer helpdesk
403,furniture,is this modular or traditional kitchen,what type wood using for furniture
405,furniture,Antique master bedroom side table maple wood,Double bed mattress soft
406,furniture,what survey future plane and ideas,what future plane
407,furniture,new sofa is wonderfull furniture,sofa is very soft
408,furniture,"new kitchen dining table solid brown 48"" L x 30"" D x 29"" H",kitchen countertop marble or granite
409,furniture,The price of pink bed in Texas was $1500 with dimensions of 100 by 150m,The brown furniture in the showroom costs $50
410,furniture,new couch brown 7 ft long,living room couch brown or black
411,furniture,new extending wooden table 1x3 meters green or white under $1000,large green sofa
414,furniture,New or used bookshelf wood metal dark brown,bookshelf used wood
415,furniture,Stools by Emeco,Wal nut
416,furniture,Brand new kitchen table in pine with full matching chair set with blue upholstery.,Kitchen table in pine with matching chairs
417,furniture,"New Kitchen Bar Stool, Black, Wood, 35 in by 37 in","Bar stools, Black, Wood"
418,furniture,new kitchen bar stool brown 333 by 176 meters,kitchen cabinet mahogany or pista
419,furniture,kitchen table walnut under $50 45 by 32 inches,kitchen table brown under $50
420,furniture,pink colour bed 217 by 150mts,bar furnitures or beds
421,furniture,used three seater sofa black armless 15 by 5 feet,Sofa black leather armless
3,car,"Honda Accord EX 1997 less than 138,000 miles single owner A/C less than $2000",Honda $1200 red
8,car,fiat 500 soprta i 6000,fiat 500 sotto i 6000
9,car,"Toyota more than 300,000 miles and upper $2000",Audi  A8L used under 6000
20,car,"White Toyota Corolla under $15000 used less than 50,000 miles",Chevy Used Black 2011
25,car,honda sedan under $15000,used car
26,car,new Prius less than 250k miles blue or green in California,new Subaru under $20000
29,car,Honda SUV manual less than 75000 miles under $15000,Buick automatic blue
32,computer science jobs,"Linux system administrator level 2 position private company $32K starting Houston, Texas",Linux system administrator $15/hr houston
36,computer science jobs,fiat 500 sopra i 6000,fiat 500 sotto i 6000
37,computer science jobs,senior data scientist job private company $70k or $80 k in alabama,Junior data scientist $60k california
41,computer science jobs,Sofatware Developing Job private $100k  Seniority level in Atlanta,Software developer $100K Georgia
45,computer science jobs,data science job public $80k or $90k in Washington,junior data scientist $54k kansas
50,computer science jobs,Data Scientist Manager private  job in IT sector  of $90K salary requires 15+ year experience,Business  analyst job of $60K salary requires 10 years  experience
51,computer science jobs,Healthcare Data Scientist Manager Indiana $80K 5 years experience,Senior Scientist Seattle $100K
53,computer science jobs,Research assistant medical Indiana bachelor's degree 70k,Event coordinator 60k 5 years experience
54,computer science jobs,Senior Technical Artist 3+ years experience Facebook gaming in Silicon Valley $100K+,Customer Service Consultant Florida $27K
58,furniture,6 drawer bedroom dresser light color 32 by 68 inches,bedroom dresser oak
64,furniture,fiat 500 sopra i 6000,fiat 500 sotto i 6000
70,furniture,used student desk white pine 4 by 7 ft,coffee table 5 ft by 3 ft
76,furniture,tall bar stool brown,brown cabinet
77,furniture,What is the dimensions of the new kitchen bar and the MOc?,What is the material of construction od kitchen cabinet?
78,furniture,red cedar or maple rocking chair under $1300 2 meters height,grey wooden table
80,furniture,Tall dark real wooden bookcase over 1.5m tall with at least 6 shelves for under $1000,Small computer desk under $30
0,housing,Alexandria no parking spot townhouse pets yes no dogs no cats,Arlington duplex basement
2,housing,suburb Single family 4 bedroom 2.5 bath car (yes),city Apt 2 bedroom under $1500 per month
3,housing,"3 bed, 1 bathroom, semi-detached house in kent with garden and off street parking","3bed, 1 bathroom house"
4,housing,melbourne apartment open to city center built before 1980 with 2 bathroooms,nebtleigh apt 8000 per month double bed rooms
5,housing,New york high rise apartment studio with view only 1200 a month rent,New york apartment 1200 month
6,housing,"Longview Washington Tudor Home $500,000 or over 5 bedroom 3 bathroom built after 2000",Irvine mansion 5 bedroom
7,housing,Pet-friendly Chicago apartment less than 3500 per month with 2 bedrooms,3 bed house
9,housing,hobbs apartment close to city center built after 1980 with 3 bathrooms,nebtleigh apt 9000 per month single bed
10,housing,off campus 4 bedroom 2 bath house with 2 car garage,2 bedroom student housing
12,housing,The building available sqr. feet 1650 3 bedrooms,2019 year house available for rental 10000 per month double bedrood
13,housing,car parking is yes or not,how many sqft of kitchen
14,jewelry,men's sterling silver wedding band with onyx,rose gold dangle earrings
15,jewelry,Wedding band with diamond stone 9crt $5000,wedding band only 900
16,jewelry,matched vintage gold weddings bands over $500,vintage gold wedding bands
