,category,query,cleaned_query
33,jewelry,795,
34,jewelry,Birthday earrings for her gold  or silver $300,birthday ear gold silver
35,jewelry,wedding ring for her gold under $2000,wed ring gold
36,jewelry,silver necklace for him $500,silver necklac
37,jewelry,earring 500,ear
38,jewelry,"wedding ring for her diamond $10,000",wed ring diamond
39,jewelry,wedding ring for sale under 4000 price,wed ring sale price
40,jewelry,womens tennis bracelet gold less than $200 small,women tenni bracelet gold small
41,jewelry,anniversary bracelet for her silver or gold $300,anniversari bracelet silver gold
42,jewelry,1000,
43,jewelry,"Rose gold, vintage ring, emerald or amethyst, trap cut preferable, less than 1500.",rose gold vintag ring emerald amethyst trap cut prefer
44,jewelry,wedding necklace for bride diamond $1000,wed necklac bride diamond
45,jewelry,"silver tiara for women at least $10,000",silver tiara women
46,jewelry,engagement ring with diamond under $1000 san diego,engag ring diamond san diego
47,jewelry,gold wedding ring under $2000,gold wed ring
48,jewelry,Gold serpentine chain necklace mejuri 16in 14k yellow gold,gold serpentin chain necklac mejuri yellow gold
49,jewelry,diamond ring large gauge platinum or lead $20,diamond ring larg gaug platinum lead
50,jewelry,smart phones with 128 mb memory or more,smart phone mb memori
51,jewelry,Tennis bracelet under $150 white gold,tenni bracelet white gold
52,jewelry,silver or gold necklace more than $1000,silver gold necklac
53,jewelry,earrings in gold with diamonds $500,ear gold diamond
54,jewelry,her happiness,happi
55,jewelry,jewelry for the perfect night out,jewelri perfect night
56,motorcycles,6 Honda CRF450R price 6000 2016 11000 km,honda price km
57,motorcycles,"BMW Motorrad 2005 used for $15,000",bmw motorrad
58,motorcycles,great condition harley davidsons 1990 to 2000 less than 10000,great condit harley davidson
59,motorcycles,2008 honda motorcycle under $4000,honda motorcycl
60,motorcycles,sold automobiles,sold automobil
61,motorcycles,bajaj dominar 2017 less than 140000 sale,bajaj dominar sale
62,motorcycles,honda motorcycle 500cc 120000 sale,honda motorcycl sale
63,motorcycles,Harley Davidson black 800cc motorcycle 1984,harley davidson black motorcycl
64,motorcycles,motorcycle for sale elkhorn 2021 Super73-S2 Hudson Blue Official,motorcycl sale elkhorn hudson blue offici
65,motorcycles,"Restored or genuine parts, Old Norton, 1930s, model 50, no more than 20,000 miles.",restor genuin part old norton model mile
66,motorcycles,"honda NC750X 2021 8,499 sale",honda sale
67,motorcycles,"Ducati motercycle for sale, less than 50000",ducati motercycl sale
68,motorcycles,ducati diavel 2019 less than 120000,ducati diavel
69,motorcycles,I want a bmw 1200 cc bike less than 10 years old with less than 200 km on the meter0,want bmw cc bike year old km
70,motorcycles,"2007 honda motorcycle sale 16,000 sale good deal",honda motorcycl sale sale good deal
71,motorcycles,Bajaj pulsar black color model 2018 used under $500,bajaj pulsar black color model
72,motorcycles,2018 harley davidson sportster s for sale,harley davidson sportster sale
73,motorcycles,bajaj dominar sell more than 130000,bajaj dominar sell
74,motorcycles,2017 hellcat motorcycle only 13000,hellcat motorcycl
75,motorcycles,TaoTao 125d 125cc utility cuad bike for $2000,taotao util cuad bike
76,motorcycles,Harley Davidson 2015 sale at 15000,harley davidson sale
77,motorcycles,"harley davidson motorcycle 2022 less than $200,000 0 miles",harley davidson motorcycl mile
78,motorcycles,harley davididson 2017 less than 100000 sale,harley davididson sale
79,motorcycles,Honda Shadow Aero 2020 less than 7495 sale,honda shadow aero sale
80,motorcycles,Yamaha YZ125 2022 less than $6000 sale,yamaha sale
81,furniture,"42x18.5, inches red cedar or cherry, vintage, hope chest",inch red cedar cherri vintag hope chest
82,furniture,Hight top kitchen chairs,hight kitchen chair
83,furniture,Twin size headboard under $50 dark brown,twin size headboard dark brown
84,furniture,bathroom sink stanless 4 feet high,bathroom sink stanless feet high
85,furniture,modern design countertop granite level 1,modern design countertop granit level
86,furniture,king bed with pine headboard memory foam mattress,king bed pine headboard memori foam mattress
87,furniture,ivory and beige rosewood kitchen cabinet 3 feet by 4.25 feet $125,ivori beig rosewood kitchen cabinet feet feet
88,furniture,"Stool,Bar, Condition, Size,Brown",stool bar condit size brown
89,furniture,desk chair with inlay under 30 inches wide and under 30 inches long,desk chair inlay inch wide inch long
90,furniture,new kitchen bar stool brown 121 by 167 meters,new kitchen bar stool brown meter
91,furniture,small blue bedroom chair yellow mahogany,small blue bedroom chair yellow mahogani
92,furniture,New kitch bar stools 56,new kitch bar stool
93,furniture,queen size wooden headboard,queen size wooden headboard
94,furniture,new bathroom bar stool 1000 by 10000,new bathroom bar stool
95,furniture,Bar top 20ft by 4 ft brand new painted blue and white with red accents,bar ft brand new paint blue white red accent
96,furniture,oak kitchen table 5 feet by 5 feet with chairs,oak kitchen tabl feet feet chair
97,furniture,red color wooden chair for kids under $100 with height 100 meters,red color wooden chair kid height meter
98,furniture,"weight limit, shade, price, quality, location",weight limit shade price qualiti locat
99,furniture,price of white kitchen furniture,price white kitchen furnitur
100,furniture,Cherry finish corner office desk with hutch,cherri finish corner offic desk hutch
101,furniture,"Gently used oak dining room table 18"" x 36""",gentli oak dine room tabl x
102,furniture,Used 8 piece dining set mahogany in georgia,piec dine set mahogani georgia
103,furniture,kitchen  bar cabinet,kitchen bar cabinet
104,furniture,dinner table wood black large 6 people,dinner tabl wood black larg peopl
105,furniture,kitchen stool brown 111 by 140 meters,kitchen stool brown meter
106,furniture,IN MY KITCHEN WE NEED A DINING TABLE FOR THE DIAMETERS OF 200*450? WILL YOU ARRANGE IN THIS SPACE,kitchen need dine tabl diamet arrang space
107,furniture,Wanted Rosewood chair of genuine antiquity at least 100 yrs and less than 1000 euros,want rosewood chair genuin antiqu yr euro
108,furniture,4 post bed for sale in mahogany finish with base draws and foot stool also in mahogany finish,post bed sale mahogani finish base draw foot stool mahogani finish
109,car,Red 2door v8 black interior used,red black interior
110,car,jeep wrangler 2001 with hard top under $10000,jeep wrangler hard
111,car,the honda condition was good,honda condit good
112,car,"red jeep cherokee under $10,000 good condition",red jeep cheroke good condit
113,car,Used sedan under 15000,sedan
114,car,"Pontiac hatchback with less than 50,000 miles in good condition no older than 2005",pontiac hatchback mile good condit older
115,car,car year manufacturer state and price,car year manufactur state price
116,car,"Honda, Sedan, miles, for sale, price, listing",honda sedan mile sale price list
117,car,2001 black dodge ram under 150000 miles,black dodg ram mile
118,car,Used honda 3000 miles 5000,honda mile
119,car,Ford Escort under $5000 automatic in Pennsylvania,ford escort automat pennsylvania
120,car,"1956-1963, Ford truck, F-250 series, less than 70,000 miles, black, brown, or white.",ford truck seri mile black brown white
121,car,"Used Honda Sedan car run less than 200,000 miles is available for $15000",honda sedan car run mile avail
122,car,"engine, interior, transmission, paint, condition",engin interior transmiss paint condit
123,car,new 2021 4 cylander silver toyota camry automatic,new cyland silver toyota camri automat
124,car,BMW SUV less than 150K miles and around $10K,bmw suv mile
125,car,Want a red ferrari around 5 yrs old in good condition less than 20000 USD and below 20000 kms done,want red ferrari yr old good condit usd km
126,car,"Audi c4 petrol 2016 used less than 200,000 and under $35000",audi petrol
127,car,"Toyota minivan less than 50,000 miles and in Florida",toyota minivan mile florida
128,car,pristine pink Mercedes under $150k built after 2020 in New York or California,pristin pink merced built new york california
129,car,honda civic 2013 under 5000,honda civic
130,car,"Used black BMW convertible 6 cylinder manual under 100,000 miles",black bmw convert cylind manual mile
131,car,"Yahama sedan less than 300,000 miles and under $16000",yahama sedan mile
132,car,"What is the best Honda with less than 200,000 miles?",best honda mile
133,car,BMW used under $10000 2017,bmw
134,car,Green Audi A3 20000 miles for sale price of car is £8000,green audi mile sale price car
135,car,"Mazda truck less than 170,000 miles and under $9000",mazda truck mile
136,car,"used nissan sentra 2006 under $4000 less than 100,000 miles",nissan sentra mile
137,car,"Hyundai Elantra under $20000 and less than 100,000 miles",hyundai elantra mile
138,car,"Porsche macan less then 50,000 miles and red",porsch macan mile red
139,car,"Could you please check the exact mileage of the Honda sedan, and provide further details on fuel and transmission type, number of cylinders, exact original factory paint color, and if it is in good working condition without an active check engine light?",check exact mileag honda sedan provid detail fuel transmiss type number cylind exact origin factori paint color good work condit activ check engin light
140,car,"2020 White Ford F150 Like New in Illinois Under 10,000 Miles $60000",white ford like new illinoi mile
141,car,2015 dodge ram diesel in minnesota under 20 thousand dollars,dodg ram diesel minnesota thousand dollar
142,car,ford focus drove more than 10000,ford focu drove
143,computer science jobs,Looking for a skilled app developer in London to create a new app from scratch in 3 months. Can pay 100000 dollars for full project.,look skill app develop london creat new app scratch month pay dollar project
144,computer science jobs,data science jobs in California salary 90k,data scienc job california salari
145,computer science jobs,programmer salaries in california 10 years of experience,programm salari california year experi
146,computer science jobs,data science job private company $88K or $110K in california,data scienc job privat compani california
147,computer science jobs,Business analyst job fortune 500 corporation in Illinois $90K to $100K requires 10 years experiance,busi analyst job fortun corpor illinoi requir year experi
148,computer science jobs,Professional TI,profession ti
149,computer science jobs,soft engineer tech company 250K in seattle,soft engin tech compani seattl
150,computer science jobs,Data Based Analyst Scientist  100K California,data base analyst scientist california
151,computer science jobs,data science job 80k new york private company,data scienc job new york privat compani
152,computer science jobs,science data analyst pharmatech phd required,scienc data analyst pharmatech phd requir
153,computer science jobs,computer scientist job large company $100k florida,comput scientist job larg compani florida
154,computer science jobs,New science kits all areas 20k mimia,new scienc kit area mimia
155,computer science jobs,Data analyst government contractor 90k virginia,data analyst govern contractor virginia
156,computer science jobs,Business Analyst private company 100k or 120k in Vermont,busi analyst privat compani vermont
157,computer science jobs,Senior Computer scientist at private company starting wage is $75000 C++ Coding experience required,senior comput scientist privat compani start wage code experi requir
158,computer science jobs,Senior Data Scientist Job $74 k to $90K  in a Private Company in California,senior data scientist job k privat compani california
159,computer science jobs,Entry level computer science employment opportunity Oregon State $100K,entri level comput scienc employ opportun oregon state
160,computer science jobs,Machine Learning Engineer $90K 20 years experience located in Washington,machin learn engin year experi locat washington
161,computer science jobs,"Small, private company, Dallas, 5 years experience,  Manufacturing, Data Scientist",small privat compani dalla year experi manufactur data scientist
162,computer science jobs,Senior Programmer 2 year degree 4 years experience $120000 salary in Film Boston Massachusetts,senior programm year degre year experi salari film boston massachusett
163,computer science jobs,"company, location, PTO, insurance, co-workers, raises, qualifcations",compani locat pto insur co worker rais qualifc
164,computer science jobs,Where can I find the best data science company in California?,find best data scienc compani california
165,computer science jobs,cloud engineer in private company located in New jersey founded in 2008 and salary 11k to 20k,cloud engin privat compani locat new jersey found salari
166,computer science jobs,website development position with large health care company in minnesota,websit develop posit larg health care compani minnesota
167,computer science jobs,science data was imortant to private company,scienc data imort privat compani
168,computer science jobs,data scientist salary in the health care sector,data scientist salari health care sector
169,computer science jobs,"Data Science, Job, Private Company, Annual salary, California",data scienc job privat compani annual salari california
170,computer science jobs,University teaching job atlanta georgia $100k with moving stipend,univers teach job atlanta georgia move stipend
171,computer science jobs,Data Scientist Manager job private company $60K to $70K in alabama,data scientist manag job privat compani alabama
0,car,FUEL,fuel
1,car,toyato less than 29000  miles amd under $15000,toyato mile amd
2,car,"Used 100,000 honda 4000",honda
3,car,Used Ford F-350 diesel truck with long bed and 4-wheel drive,ford diesel truck long bed drive
4,car,used 2019 white lincoln aviator with cream leather interior and air conditioned seats,white lincoln aviat cream leather interior air condit seat
5,car,"spaghetti, wal-mart, Costco",spaghetti wal mart costco
6,car,"honda sedan less than 200,000 miles and under $15000",honda sedan mile
7,car,Toyota Prius black used Florida under $10000,toyota priu black florida
8,car,ford ram 250 100000 miles 2 door 4 cylinders,ford ram mile door cylind
9,car,"new Audi Q7, 2021 model, diesel, red",new audi model diesel red
10,car,12000,
11,car,"toyota sedan less than 300,000 miles and under $20000",toyota sedan mile
12,car,ford v8 truck tow package spray in bedliner,ford truck tow packag spray bedlin
13,car,El dorado 1970 black under 300000 miles,el dorado black mile
14,car,"BMW sedan less than 100,000 miles and under $25000",bmw sedan mile
15,car,"honda, 200,000 miles",honda mile
16,car,"New Subaru SUV under 40,000 dollars with eyesight",new subaru suv dollar eyesight
17,car,"honda car with black color and milage 300,000 price $55000 with petrol fuel",honda car black color milag price petrol fuel
18,car,SUBARU 200K MILES OR LESS HATCHBACK MAUAL TRANSMISSION UNDER $6000,subaru mile hatchback maual transmiss
19,car,condition,condit
20,car,"HERO SEDAN LESS THAN 200,500 MILES AND UNDER $20000",hero sedan mile
21,car,What is the price of toyota?,price toyota
22,computer science jobs,Senior management data analyst position with 401k and health benefits,senior manag data analyst posit health benefit
23,computer science jobs,Data science 60k,data scienc
24,computer science jobs,"data science, private, 80-90k",data scienc privat
25,computer science jobs,Salary estimate,salari estim
26,computer science jobs,data science job private $70K or $80K in california,data scienc job privat california
27,computer science jobs,DATA ENTRY MANAGER,data entri manag
28,computer science jobs,SYSTEMS ADMINISTRATOR JOB 75K REMOTE OR IN OHIO PATH TO ADVANCEMENT,system administr job remot ohio path advanc
29,computer science jobs,What is the salary of data science job?,salari data scienc job
30,computer science jobs,senior scientist founder phd 24 years work experience $145K,senior scientist founder phd year work experi
31,computer science jobs,database manager jobs austin texas $100k in healthcare,databas manag job austin texa healthcar
32,computer science jobs,Master degrees IBM New York Data Scientist $150K,master degre ibm new york data scientist
33,computer science jobs,manager business analyst 100000 new england,manag busi analyst new england
34,computer science jobs,DATA MANAGER JOB PRIVATE COMPANY $60K OR $ 80K IN NEW YORK,data manag job privat compani new york
35,computer science jobs,Privately owned prison $50K Iowa no degree Part time,privat own prison iowa degre time
36,computer science jobs,California Data Science Job,california data scienc job
37,computer science jobs,data science job private company $80K or $90K in california,data scienc job privat compani california
38,computer science jobs,What is the average salary in a data science job private company in california?,averag salari data scienc job privat compani california
39,computer science jobs,Data scientist manager job private company $100,data scientist manag job privat compani
40,computer science jobs,python artificial intelligence minimum five years experience,python artifici intellig minimum year experi
41,furniture,kitchen bar stool brown,kitchen bar stool brown
42,furniture,dining table 200 x 100 cm glass $700 or less,dine tabl x cm glass
43,furniture,brown oak desk 200 150 by 300,brown oak desk
44,furniture,KITCHEN ISLAND OAK OR PINE SEATS 4 BUILT IN STORAGE WIRED FOR ELECTRICITY,kitchen island oak pine seat built storag wire electr
45,furniture,Used kitchen chair in wood pine,kitchen chair wood pine
46,furniture,CHIMENEY SILVER,chimeney silver
47,furniture,new kitchen bar stool brown 111 by 146 meters,new kitchen bar stool brown meter
48,furniture,rustic counter height white and black bar stools metal,rustic counter height white black bar stool metal
49,furniture,new bathroom stool brown 111 by 156 meters,new bathroom stool brown meter
50,furniture,amish made farmstyle table unstained,amish farmstyl tabl unstain
51,furniture,New blue mid centrury modern couch with walnut legs,new blue mid centruri modern couch walnut leg
52,furniture,New 100 met gold stool,new met gold stool
53,furniture,solid oak 8 person dining room table,solid oak person dine room tabl
54,furniture,111,
55,furniture,"What are the price, color, and dimensions of the brown kitchen bar stool?",price color dimens brown kitchen bar stool
56,furniture,How the bar stool can be fixed according to the dimensions?,bar stool fix accord dimens
57,furniture,new mahogany  cabinets for kitchen or office,new mahogani cabinet kitchen offic
58,furniture,white day bed full size metal or plastic,white day bed size metal plastic
59,furniture,Used Oak 1-2m Dining Room table with 6 chairs for under $500,oak dine room tabl chair
60,furniture,"kitchen countertop granite or stone, black or brown",kitchen countertop granit stone black brown
61,furniture,bar stools 2 ft 6in 4 numbers black and steel combo,bar stool ft number black steel combo
62,furniture,New kitchen bar is with the dimension,new kitchen bar dimens
63,housing,melbourne apartment close to city center built after 1980 with 3 bathrooms,melbourn apart close citi center built bathroom
64,housing,3 bed 2 bath apartments in dallas with no pet free under $1800 a month,bed bath apart dalla pet free month
65,housing,CONDO FOR SALE GRAND HAVEN BEACHFRONT DOWNTOWN ACCESS 4 BEDROOMS,condo sale grand beachfront downtown access bedroom
66,housing,nebtleigh apartment close to city enter with 2 bathroom,nebtleigh apart close citi enter bathroom
67,housing,One bedroom two bath apartment close to city,bedroom bath apart close citi
68,housing,16000,
69,housing,multi room apartment no roommates near center city,multi room apart roommat near center citi
70,housing,Two bedroom one bath move in ready,bedroom bath readi
71,housing,4 bedroom duplex car park 10 years old near Vox Hall downtown Chicago,bedroom duplex car park year old near vox hall downtown chicago
72,housing,3960,
73,housing,melbourne apartment close to city center built after 1980 with 2 bathrooms,melbourn apart close citi center built bathroom
74,jewelry,anniversary bracelet for her silver or gold $100,anniversari bracelet silver gold
75,jewelry,1 carat solitaire engagement ring size 6 $2000,carat solitair engag ring size
76,jewelry,anniversery neckless is gold and diamond mixed,anniverseri neckless gold diamond mix
77,jewelry,"a combo of wedding band, ring, necklace at affordable price $500 color options gold and silver",combo wed band ring necklac afford price color option gold silver
78,jewelry,pearl necklace matching earrings blue color $450,pearl necklac match ear blue color
79,jewelry,WOMEN'S GOLD OR PLATINUM BAND WITH EMERALD OR RUBY LESS THAN $1000,women gold platinum band emerald rubi
80,jewelry,24K gold wedding ring under $2000 with matching engagement ring,gold wed ring match engag ring
81,jewelry,earrings for silver or gold $500,ear silver gold
82,jewelry,50th anniversary diamond and pearl necklace and bracelet set over $5000,anniversari diamond pearl necklac bracelet set
83,jewelry,Gold $100,gold
84,jewelry,gold necklace without pendant large links,gold necklac pendant larg link
85,jewelry,anniversary bracelet for her silver or gold $200,anniversari bracelet silver gold
86,motorcycles,bajaj dominar 2018 less than 120000 sale,bajaj dominar sale
87,motorcycles,bajaj dominar 2017 less than 130000 sale,bajaj dominar sale
88,motorcycles,Harley Davidson 2021 less than 50000,harley davidson
89,motorcycles,bajaj dominar 2017 less than 100000 sale,bajaj dominar sale
90,motorcycles,2020 YZT-R6 1346 miles less than 13000,mile
91,motorcycles,"TOYOTA MOTORCYCLE SECOND HAND $10000 BLUE COLOR  300,000 MILAGE",toyota motorcycl second hand blue color milag
92,motorcycles,used red harley davidson electra glide standard near el paso texas under 20k km,red harley davidson electra glide standard near el paso texa km
93,motorcycles,BMW bike 2020 $6300 1500 kms,bmw bike km
94,motorcycles,harley davidson all original parts,harley davidson origin part
95,motorcycles,Honda polite 3000,honda polit
96,motorcycles,OVER 500CC YAMAHA STREET LEGAL PREVIOUSLY OWNED CHROME,yamaha street legal previous own chrome
97,motorcycles,used honda white 1000cc 2009,honda white
98,motorcycles,WHICH CAR BEAT OF THE YEAR BETTER THAN FERRARI,car beat year better ferrari
99,motorcycles,YAMAHA  MT 07 2017 LESS THAN 8000 SALE,yamaha mt sale
100,motorcycles,90000,
101,housing,4 bedroom Dallas apartment with pool access close to the airport  and restaurants,bedroom dalla apart pool access close airport restaur
102,housing,Apartments for rent 1000 a minth in lorain,apart rent minth lorain
103,housing,"housing address = ""via roma 111"" and apartament type = ""flat""",hous address roma aparta type flat
104,housing,Housing,hous
105,housing,"Sydney House with 6 bedrooms, 5 bathrooms and parking in the city.",sydney hous bedroom bathroom park citi
106,housing,Villa type mansion under 2 million AUSD  required for purchase in Perth,villa type mansion million ausd requir purchas perth
107,housing,3 bathroom city no car 1950 new york,bathroom citi car new york
108,housing,Suburban 2bhk house with atleast 3 separate bathrooms near Panvel area.,suburban hous atleast separ bathroom near panvel area
109,housing,new york house close to train station double bed,new york hous close train station doubl bed
110,housing,Melbourne Apartment 2 bathrooms,melbourn apart bathroom
111,housing,melbourne apartment close to city center built after 1980 with 2 bathroooms,melbourn apart close citi center built bathrooom
112,housing,Georgia house urban built after 2000 with 4 bathrooms,georgia hous urban built bathroom
113,housing,"size, no of rooms,no of bedroom, price, car, tile, furnished",size room bedroom price car tile furnish
114,housing,find apartments near me with 2 bathrooms built after 1980,find apart near bathroom built
115,housing,"chicago suburb townhouse transportation ""built within 10 years"" three bed",chicago suburb townhous transport built year bed
116,housing,new york city flat close to times square,new york citi flat close time squar
117,housing,house built in 1990,hous built
118,housing,2 Bedroom apartment in downtown Denver,bedroom apart downtown denver
119,housing,How many bedrooms are there?,bedroom
120,housing,Apartment complex near costco,apart complex near costco
121,housing,stone garden home at least 1 acre and at least 5 bedrooms,stone garden home acr bedroom
122,jewelry,diamond tennis bracelet platinum or white gold $2000,diamond tenni bracelet platinum white gold
123,jewelry,Black or silver necklace with price less than 500 and more than 100,black silver necklac price
124,jewelry,silver earrings with real diamonds and clip-cons,silver ear real diamond clip con
125,jewelry,"size, color, craftman, weight, carat",size color craftman weight carat
126,jewelry,silver or gold bracelet,silver gold bracelet
127,jewelry,Rose gold Charm Bracelet with Diamonds for under $500,rose gold charm bracelet diamond
128,jewelry,ringsv wo,ringsv wo
129,jewelry,birthday necklace for her $800,birthday necklac
130,jewelry,tiffany diamond wedding ring at least $1000,tiffani diamond wed ring
131,jewelry,"Diamond ear rings for her, gold plated for more than $500",diamond ear ring gold plate
132,jewelry,wedding gold ring $1000 big diamond 204 karat,wed gold ring big diamond karat
133,jewelry,Earrings silver gold $250,ear silver gold
134,jewelry,silver butterfly necklace for woman under 500,silver butterfli necklac woman
135,jewelry,Where can I find anniversary bracelets for females that are silver or gold for less than $100?,find anniversari bracelet femal silver gold
136,jewelry,Wedding band for him in gold $250,wed band gold
137,jewelry,engraved engagement ring for him silver $200,engrav engag ring silver
138,jewelry,wedding ring $1000 platinum set double,wed ring platinum set doubl
139,jewelry,What is the type of jewellery?,type jewelleri
140,jewelry,diamond and white gold bracelet $500,diamond white gold bracelet
141,jewelry,14K Gold Anniversary Ring $5800,gold anniversari ring
142,jewelry,Jewelry,jewelri
143,jewelry,50,
144,jewelry,wedding ring gold for her for 100,wed ring gold
145,jewelry,"jewerly type = ""ring"" and color = ""gold""",jewerli type ring color gold
146,jewelry,Anniversay bracelt for her silver $100,anniversay bracelt silver
147,motorcycles,$10000 harley silver electric powered,harley silver electr power
148,motorcycles,"km- driven , engine, color, cylinder capacity, owner, documents",km driven engin color cylind capac owner document
149,motorcycles,bajaj 2017 130000,bajaj
150,motorcycles,Ninja motorcycle 2015 or newer less than $20000 one owner,ninja motorcycl newer owner
151,motorcycles,"Harley Davidson  10,000 for sale  2016",harley davidson sale
152,motorcycles,Trendy and hot 2021 toyota motorcycle for $1000,trendi hot toyota motorcycl
153,motorcycles,bajaj dominar,bajaj dominar
154,motorcycles,green chevy malibu 10000 sale 2010,green chevi malibu sale
155,motorcycles,yamaha fazer 2016 more than 10000 sale,yamaha fazer sale
156,motorcycles,honda 2015 $10k 1 owner 700cc,honda owner
157,motorcycles,"Hellcat 2018, less than 50km drive.",hellcat drive
158,motorcycles,bajaj dominar 2017 less than 140000 sale,bajaj dominar sale
159,motorcycles,vehicles for sale near me 130000,vehicl sale near
160,motorcycles,"2019 Triumph Bonneville less than 10,000 in Florida in black",triumph bonnevil florida black
161,motorcycles,Bajaj CT 100 less than 25000km driven 2018 model,bajaj ct driven model
162,motorcycles,nissan leaf electric 3 bar battery used less than 10000,nissan leaf electr bar batteri
163,motorcycles,what is the price,price
164,motorcycles,2019 Honda Good Condition $5000,honda good condit
165,motorcycles,suzuki motorcycle used 2015 to 2020 less than 10000,suzuki motorcycl
166,motorcycles,kawasaki motorcycle ninja 2013 less than 1400 new,kawasaki motorcycl ninja new
167,motorcycles,What is minimum price of bajaj?,minimum price bajaj
168,motorcycles,Want a ducati monster 797 karnataka registered 2017 below 8 lakh rupees,want ducati monster karnataka regist lakh rupe
169,motorcycles,1300,
170,motorcycles,he is looking for bike under 5000$,look bike
171,motorcycles,yes,ye
172,motorcycles,Honda motorcycle $2500 used driven 12k miles black,honda motorcycl driven mile black
173,motorcycles,"motorcycle name = ""yamaha"" and  price < 200",motorcycl yamaha price
174,car,ferarri red cabrio less than 100000 miles and under $20000,ferarri red cabrio mile
175,car,"Black Toyota Corolla less then 100,000 for 10,000$",black toyota corolla
176,car,can get hond sedan,hond sedan
177,car,new bmw 4 wheel drive v6 engine under 35000,new bmw wheel drive engin
178,car,"Toyota, 50000k, 2021, new, blue, 4 cylinders",toyota new blue cylind
179,car,Honda,honda
180,car,nissan leaf 2007 new battery used under $10000,nissan leaf new batteri
181,car,"jeep less than 300,000 miles under $20000",jeep mile
182,car,Beand new honda 340000,beand new honda
183,car,What is the pay for the job?,pay job
184,car,Honda Sedan,honda sedan
185,car,"Honda sedan less than 200,000 miles and under $15000",honda sedan mile
186,car,mazda miada t-top under $10000 red or green,mazda miada red green
187,car,Mercedes 2021 SUV brand new in red paint job,merced suv brand new red paint job
188,car,2011 Ford Fiesta used grey automatic transmission,ford fiesta grey automat transmiss
189,car,toyota hatchback 2 seater under 3500,toyota hatchback seater
190,car,1992 silver toyota tacoma 4x4 truck,silver toyota tacoma truck
191,car,-,
192,computer science jobs,data science job private company $80K or 90,data scienc job privat compani
193,computer science jobs,data engineer at least $100k California or new york,data engin california new york
194,computer science jobs,"computer science = ""Consultant"" and salary > 20000€",comput scienc consult salari
195,computer science jobs,software developer remote company $95k information technology new york,softwar develop remot compani inform technolog new york
196,computer science jobs,it analyst public company $100k in Georgia healthcare 5 years,analyst public compani georgia healthcar year
